Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for supersymmetry in events with b-quark jets and missing transverse energy<? format?> in pp collisions at 7 TeV,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",86,7,072010,2012,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for large extra dimensions in dimuon and dielectron events in pp collisions at s= 7 TeV,Physics Letters B,711,1,15-34,2012,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for new physics with same-sign isolated dilepton events with jets and missing transverse energy at the LHC,Journal of High Energy Physics,2011,6,1-47,2011,Springer-Verlag
"CMS collaboration; ",Forward-backward asymmetry of Drell-Yan lepton pairs in pp collisions at sqrt (s)= 7 TeV,arXiv preprint arXiv:1207.3973,,,,2012,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Combined search for the quarks of a sequential fourth generation,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",86,11,112003,2012,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Search for long-lived particles that decay into final states containing two electrons or two muons in proton-proton collisions at s= 8 TeV,Physical Review D,91,5,052012,2015,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for Heavy Neutrinos and WR Bosons with Right-Handed Couplings<? format?> in a Left-Right Symmetric Model in pp Collisions at s<? format?>=<? format?> 7 TeV,Physical review letters,109,26,261802,2012,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Flechl, Martin; ",Evidence for transverse-momentum-and pseudorapidity-dependent event-plane fluctuations in PbPb and p Pb collisions,Physical Review C,92,3,034911,2015,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ",Search for pair production of third-generation scalar leptoquarks and top squarks in proton–proton collisions at s= 8 TeV,Physics Letters B,739,,229-249,2014,North-Holland
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; Brandstetter, J; Brondolin, E; Dragicevic, M; Erö, J; ",Search for resonant tt¯ production in proton-proton collisions at s= 8 TeV,Physical Review D,93,1,012001,2016,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for flavor changing neutral currents in top quark decays in pp collisions at 7 TeV,Physics Letters B,718,4-5,1252-1272,2013,North-Holland
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ",Search for long-lived neutral particles decaying to quark-antiquark pairs in proton-proton collisions at s= 8 TeV,Physical Review D,91,1,012007,2015,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of the ratio of inclusive jet cross sections using the anti-k T algorithm with radius parameters R= 0.5 and 0.7 in pp collisions at s= 7 TeV,Physical Review D,90,7,072006,2014,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for the standard model Higgs boson produced through vector boson fusion and decaying to bb,Physical Review D,92,3,032008,2015,American Physical Society
"CMS collaboration; ","Search for a narrow, spin-2 resonance decaying to a pair of Z bosons in the q q-bar l+ l-final state",arXiv preprint arXiv:1209.3807,,,,2012,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Measurement of associated production of vector bosons and top quark-antiquark<? format?> pairs in pp collisions at s<? format?>=<? format?> 7 TeV,Physical review letters,110,17,172002,2013,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ",Search for new resonances decaying via WZ to leptons in proton–proton collisions at s= 8TeV,Physics Letters B,740,,83-104,2015,North-Holland
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Measurement of the charge asymmetry in top quark pair production in pp collisions at s= 8 TeV using a template method,Physical Review D,93,3,034014,2016,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; Fruehwirth, Rudolf; ",Measurement of Prompt ψ (2 S) to J/ψ Yield Ratios in Pb-Pb and p-p Collisions at s NN= 2.76 TeV,Physical review letters,113,26,262301,2014,American Physical Society
"Chatrchyan, Serguei; Khachatryan, V; Sirunyan, Albert M; Tumasyan, A; Adam, W; Aguilo, E; Bergauer, T; Dragicevic, M; Erö, J; Fabjan, C; ",Search for fractionally charged particles in pp collisions at s= 7 TeV,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",87,9,092008,2013,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Observation of top quark pairs produced in association with a vector boson in pp collisions at $$\sqrt {s}= 8$$ TeV,Journal of High Energy Physics,2016,1,1-55,2016,Springer Berlin Heidelberg
"CMS collaboration; ",Search for excited leptons in pp collisions at sqrt (s)= 7 TeV,arXiv preprint arXiv:1210.2422,,,,2012,
"Chatrchyan, Serguei; Erbacher, Robin; Carrillo Montoya, Camilo Andres; Moon, Chang-Seong; Carvalho, Wagner; Górski, Maciej; Kotlinski, Danek; Anderson, Jacob; Jez, Pavel; Ujvari, Balazs; ",Studies of dijet pseudorapidity distributions and transverse momentum balance in pPb collisions at $\sqrt {s_ {NN}} $= 5.02 TeV,Eur. Phys. J. C,74,arXiv: 1401.4433,2951,2014,CMS-HIN-13-001-004
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Measurement of J/ψ and ψ (2 S) Prompt Double-Differential Cross Sections in pp Collisions at s= 7 TeV,Physical review letters,114,19,191802,2015,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for a fermiophobic Higgs boson in pp collisions at $\sqrt {s}= 7$ TeV,Journal of High Energy Physics,2012,9,1-38,2012,Springer-Verlag
"CMS collaboration; ",Search for new physics in final states with a lepton and missing transverse energy in pp collisions at the LHC,arXiv preprint arXiv:1302.2812,,,,2013,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for contact interactions in μ+ μ-events in pp collisions at s= 7 TeV,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",87,3,032001,2013,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Measurement of long-range near-side two-particle angular correlations in pp collisions at s= 13 TeV,Physical review letters,116,17,172302,2016,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Limits on the Higgs boson lifetime and width from its decay to four charged leptons,Physical Review D,92,7,072010,2015,American Physical Society
"Aad, Georges; Abbott, Brad; Abdallah, Jalal; Abeloos, B; Aben, R; AbouZeid, OS; Abraham, NL; Abramowicz, H; Abreu, H; Abreu, R; ",Measurements of the Higgs boson production and decay rates and constraints on its couplings from a combined ATLAS and CMS analysis of the LHC pp collision data at $$\sqrt {s}= 7$$ and 8 TeV,Journal of High Energy Physics,2016,8,1-113,2016,Springer Berlin Heidelberg
"Khachatryan, Vardan; Erbacher, Robin; Carrillo Montoya, Camilo Andres; Moon, Chang-Seong; Carvalho, Wagner; Górski, Maciej; Kotlinski, Danek; Anderson, Jacob; Jez, Pavel; Ujvari, Balazs; ",Performance of the missing transverse energy reconstruction by the CMS experiment in sqrt (s)= 8 TeV pp data,,,,,2014,LHC/CMS Experiment
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Measurement of the top quark pair production cross section in proton-proton collisions at s= 13 TeV,Physical review letters,116,5,052002,2016,American Physical Society
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for WW γ and WZ γ production and constraints on anomalous quartic gauge couplings in pp collisions at s= 8 TeV,Physical Review D,90,3,032008,2014,American Physical Society
"CMS collaboration; ",Study of the dijet mass spectrum in pp to W+ jets events at sqrt (s)= 7 TeV,arXiv preprint arXiv:1208.3477,,,,2012,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ","Searches for a heavy scalar boson H decaying to a pair of 125 GeV Higgs bosons hh or for a heavy pseudoscalar boson A decaying to Zh, in the final states with h→ ττ",Physics Letters B,755,,217-244,2016,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Aguilo, Ernest; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; ",Search for heavy resonances in the W/Z-tagged dijet mass spectrum in pp collisions at 7 TeV,Physics Letters B,723,4-5,280-301,2013,North-Holland
"CMS collaboration; ",Measurements of jet multiplicity and differential production cross sections of Z+ jets events in proton-proton collisions at sqrt (s)= 7 TeV,arXiv preprint arXiv:1408.3104,,,,2014,
"Chatrchyan, Serguei; Brochero Cifuentes, Javier Andrés; Cabrillo Bartolomé, José Iban; Calderón Tazón, Alicia; Chuang, SH; Duarte Campderros, Jorge; Felcini, Marta; Fernández García, Marcos; Gómez Gramuglio, Gervasio; González Fernández, Francisco; ",Search for B0 s→ µ+ µ− and B0→ µ+ µ− decays,,,,,2012,Springer Verlag
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Inclusive and differential measurements of the tt¯ charge asymmetry in pp collisions at s= 8TeV,Physics Letters B,757,,154-179,2016,North-Holland
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Searches for supersymmetry based on events with b jets and four W bosons in pp collisions at 8 TeV,Physics Letters B,745,,5-28,2015,North-Holland
"CMS collaboration; ",Production of leading charged particles and leading charged-particle jets at small transverse momenta in pp collisions at sqrt (s)= 8 TeV,arXiv preprint arXiv:1507.00233,,,,2015,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Measurement of neutral strange particle production in the underlying event in<? format?> proton-proton collisions at s= 7 TeV,"Physical Review D—Particles, Fields, Gravitation, and Cosmology",88,5,052001,2013,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for direct pair production of supersymmetric top quarks decaying to all-hadronic final states in pp collisions at $$\sqrt {s}= 8\;\text {TeV} $$,The European Physical Journal C,76,8,1-46,2016,Springer Berlin Heidelberg
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ",Search for first generation scalar leptoquarks in the eνjj channel in pp collisions at s= 7 TeV,Physics Letters B,703,3,246-266,2011,North-Holland
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for narrow resonances in dijet final states at s= 8 TeV with the novel CMS technique of data scouting,Physical review letters,117,3,031802,2016,American Physical Society
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Angular analysis of the decay B0→ K⁎ 0μ+ μ− from pp collisions at s= 8 TeV,Physics Letters B,753,,424-448,2016,North-Holland
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Measurement of spin correlations in tt‾ production using the matrix element method in the muon+ jets final state in pp collisions at s= 8TeV,Physics Letters B,758,,321-346,2016,North-Holland
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for a low-mass pseudoscalar Higgs boson produced in association with a bb‾ pair in pp collisions at s= 8TeV,Physics Letters B,758,,296-320,2016,North-Holland
"CMS collaboration; ",Measurement of the CP-violating weak phase phi [s] and the decay width difference Delta Gamma [s] using the Bs to J/Psi phi (1020) decay channel in pp collisions at sqrt (s)= 8 TeV,arXiv preprint arXiv:1507.07527,,,,2015,
"CMS collaboration; ",Search for W'decaying to tau lepton and neutrino in proton-proton collisions at sqrt (s)= 8 TeV,arXiv preprint arXiv:1508.04308,,,,2015,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Evidence for exclusive γγ→ W+ W− production and constraints on anomalous quartic gauge couplings in pp collisions at $$\sqrt {s}= 7$$ and 8 TeV,Journal of High Energy Physics,2016,8,1-47,2016,Springer Berlin Heidelberg
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Search for heavy Majorana neutrinos in μ±μ±+ jets events in proton–proton collisions at s= 8TeV,Physics Letters B,748,,144-166,2015,North-Holland
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for high-mass diphoton resonances in proton–proton collisions at 13 TeV and combination with 8 TeV search,Physics Letters B,767,,147-170,2017,North-Holland
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Asilar, E; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for single production of scalar leptoquarks in proton-proton collisions at s= 8 TeV,Physical Review D,93,3,032005,2016,American Physical Society
